Date,Time,Name,Amount,Location,Zip,Balance,Fraud
2012-01-03,8:00:00,Subway,-43.74,Winter Park FL,32789,4383.8,0
2012-01-03,8:18:00,User,-157.13,Honolulu HI,52126,4226.67,1
2012-01-04,3:18:00,McDonald's,-37.53,Orlando FL,32816,4189.14,0
2012-01-04,6:14:00,Walgreens,-34.19,Winter Park FL,32789,4154.95,0
2012-01-04,7:44:00,Concert Tickets,-41.13,Winter Park FL,32789,4113.82,0
2012-01-04,13:12:00,AutoZone,-185.05,Oviedo FL,32765,3928.77,0
2012-01-04,16:46:00,BP,-24.35,Orlando FL,32816,3904.42,0
2012-01-05,5:58:00,Unknown,-499.68,Anchorage AL,73281,3404.74,1
2012-01-07,9:00:00,Spotify,-12,Oviedo FL,32765,3392.74,0
2012-01-07,9:00:00,Internet,-70,Oviedo FL,32765,3322.74,0
2012-01-07,9:00:00,Streaming,-23.81,Oviedo FL,32765,3298.93,0
2012-01-08,10:28:00,Lowes Foods,-106.14,Oviedo FL,32765,3192.79,0
2012-01-10,10:05:00,Starbucks,-34.29,Orlando FL,32816,3158.5,0
2012-01-10,12:34:00,Panera,-12.3,Oviedo FL,32765,3146.2,0
2012-01-10,14:04:00,Best Buy,-54.67,Oviedo FL,32765,3091.53,0
2012-01-10,16:32:00,Smoothie King,-27.02,Winter Park FL,32789,3064.51,0
2012-01-11,9:07:00,Target,-124.69,Oviedo FL,32765,2939.82,0
2012-01-11,12:12:00,Movie Rental,-11.74,Winter Park FL,32789,2928.08,0
2012-01-11,14:39:00,Publix,-39.32,Oviedo FL,32765,2888.76,0
2012-01-12,10:35:00,Whole Foods,-37.17,Orlando FL,32816,2851.59,0
2012-01-12,16:55:00,Dollar Tree,-10.86,Winter Park FL,32789,2840.73,0
2012-01-12,17:05:00,Amazon,-153.36,Orlando FL,32816,2687.37,0
2012-01-12,23:36:00,ComputerPart,-1524.43,Groton CT,59829,1162.94,1
2012-01-13,9:16:00,Disney World,-49.4,Oviedo FL,32765,1113.54,0
2012-01-14,5:22:00,Target,-126.87,Oviedo FL,32765,986.67,0
2012-01-14,5:32:00,Exxon,-24.56,Oviedo FL,32765,962.11,0
2012-01-14,6:15:00,Panera,-28.55,Winter Park FL,32789,933.56,0
2012-01-14,8:47:00,Home Depot,-126.9,Winter Park FL,32789,806.66,0
2012-01-14,8:50:00,Target,-138.95,Oviedo FL,32765,667.71,0
2012-01-14,11:52:00,Online,-621.28,Mexico City MC,78398,46.43,1
